comment,non-information
"/**      * Make sure the code for a (deferred or lazy) component connector type has      * been loaded, triggering the load and waiting for its completion if      * necessary.      *       * @param classType      *            component connector class      */",no
// now treated as the same!,no
// Add variables from build info,no
// fallback to CWD,no
"// populate containing scope, so that it will not be affected by the alternative branches.",no
Handles ambiguities when parsing declarators.  * <br>  * Example: void f(int (D));  // is D a type?,no
Utilities used across test cases,no
Get the test URI,no
Assert that a property in the property set matches the expected value,no
"Write a file and read it in, validating the result. Optional flags control    * whether file overwrite operations should be enabled, and whether the    * file should be deleted afterwards.",no
Write a file.    * Optional flags control    * whether file overwrite operations should be enabled,no
   * Read the file and convert to a byte dataset,no
   * Assert that the array src[0..len] and dest[] are equal,no
" the range either side of the first error to print       // this is a purely arbitrary number, to aid user debugging",no
Convert a byte to a character for printing. If the    * byte value is &lt; 32 -and hence unprintable- the byte is    * returned as a two digit hex value,no
"downgrade a failure to a message and a warning, then an    * exception for the Junit test runner to mark as failed",no
report an overridden test as unsupported,no
report a test has been skipped for some reason,no
Make an assertion about the length of a file,no
Assert that a path refers to a directory,no
Assert that a path refers to a directory,no
"Write the text to a file, returning the converted byte array    * for use in validating the round trip",no
Touch a file: fails if it is already there,no
"Read in ""length"" bytes, convert to an ascii string",no
Assert that a file exists and whose {@link FileStatus} entry    * declares that this is a file and not a symlink or directory.,no
/**    * Create the mini cluster for testing and sub in a custom runtime so that    * edit log journal failures don't actually cause the JVM to exit.    */,no
    * Create a dataset for use in the tests; all data is in the range    * base to (base+modulo-1) inclusive,no
Assert that a path exists -but make no assertions as to the    * type of that entry,no
"//failure, report it",no
Assert that a path does not exist,no
//this is expected,no
Assert that a FileSystem.listStatus on a dir finds the subdir/child entry,no
/**    * Pull out one of the JournalAndStream objects from the edit log.    */,no
// Invalidate one edits journal.,no
// The NN has not terminated (no ExitException thrown),no
// A single journal failure should not result in a call to terminate,no
// Invalidate both edits journals.,no
// The NN has not terminated (no ExitException thrown),no
// Invalidate both edits journals.,no
/**  * Shared state for Grid headers and footers.  *   * @since 7.4  * @author Vaadin Ltd  */,no
/**          * Map from column id set to cell state for merged state.          */,no
/**          * The style name for the row. Null if none.          */,no
// The NN has not terminated (no ExitException thrown),no
Tests declarative support for implementations of {@link AbstractEmbedded} and  * {@link Embedded}.,no
The RawLocalFs implementation of AbstractFileSystem.  *  This impl delegates to the old FileSystem,no
"/*Evolving for a release,to be changed to Stable */",no
"This constructor has the signature needed by    * {@link AbstractFileSystem#createFileSystem(URI, Configuration)}.",no
// Invalidate one edits journal.,no
// No default port for file:///,no
// Different local file systems have different validation rules. Skip     // validation here and just let the OS handle it. This is consistent with     // RawLocalFileSystem.,no
// Create the button pane,no
// The NN has not terminated (no ExitException thrown),no
"The exception that happens when you ask to create a file that already  * is being created, but is not closed yet.",no
 * Interface that defines how we can grow the size of a hash map when it is over a threshold.,no
   * Double the size of the hash map every time.,no
      // Guard against overflow,no
 * Indicates an exception on the RPC server,no
   * Constructs exception with the specified detail message.,no
// A single journal failure should not result in a call to terminate,no
   * Constructs exception with the specified detail message and cause.,no
   * get the rpc status corresponding to this exception,no
   * get the detailed rpc status corresponding to this exception,no
// Set one of the edits dirs to be required.,no
"     * Returns the marker type associated to this problem, if it gets persisted into a marker.",no
// Invalidated the one required edits journal.,no
// The NN has not terminated (no ExitException thrown)          // ..and that the other stream is active.,no
Serialized type for all ImmutableBiMap instances. It captures the logical    * contents and they are reconstructed using public factory methods. This    * ensures that the implementation types remain as implementation details.,no
   * Guaranteed to throw an exception and leave the bimap unmodified.,no
Returns an immutable set of the values in this map. The values are in the    * same order as the parameters used to build this map.,no
<p>The inverse of an {@code ImmutableBiMap} is another    * {@code ImmutableBiMap}.,no
"          * The current implementation will end up using entryArray directly, though it will write          * over the (arbitrary, potentially mutable) Entry objects actually stored in entryArray.",no
"we'll only be using getKey and getValue, which are covariant",no
 Returns an immutable bimap containing the given entries.,no
"Returns an immutable bimap containing the same entries as {@code map}. If    * {@code map} somehow contains entries with duplicate keys (for example, if    * it is a {@code SortedMap} whose comparator is not <i>consistent with    * equals</i>), the results of this method are undefined.",no
copyOf,no
Returns a newly-created immutable bimap.,no
build,no
Configures this {@code Builder} to order entries by value according to the specified      * comparator.,no
"Adds all of the given entries to the built bimap.  Duplicate keys or      * values are not allowed, and will cause {@link #build} to fail.",no
"Associates all of the given map's keys and values in the built bimap.      * Duplicate keys or values are not allowed, and will cause {@link #build}      * to fail.",no
" Adds the given {@code entry} to the bimap.  Duplicate keys or values      * are not allowed, and will cause {@link #build} to fail.",no
"Associates {@code key} with {@code value} in the built bimap. Duplicate      * keys or values are not allowed, and will cause {@link #build} to fail.",no
Creates a new builder. The returned builder is equivalent to the builder      * generated by {@link ImmutableBiMap#builder}.,no
"A builder for creating immutable bimap instances, especially {@code public    * static final} bimaps (""constant bimaps""). Example: <pre>   {@code    *    *   static final ImmutableBiMap<String, Integer> WORD_TO_INT =    *       new ImmutableBiMap.Builder<String, Integer>()    *           .put(""one"", 1)    *           .put(""two"", 2)    *           .put(""three"", 3)    *           .build();}</pre>    *    * <p>For <i>small</i> immutable bimaps, the {@code ImmutableBiMap.of()} methods    * are even more convenient.    *    * <p>Builder instances can be reused - it is safe to call {@link #build}    * multiple times to build multiple bimaps in series. Each bimap is a superset    * of the bimaps created before it.",no
// Set up 4 name/edits dirs.,no
Returns a new builder. The generated builder is equivalent to the builder    * created by the {@link Builder} constructor.,no
"Returns an immutable map containing the given entries, in order.",no
"Returns an immutable map containing the given entries, in order.",no
"Returns an immutable map containing the given entries, in order.",no
"Returns an immutable map containing the given entries, in order.",no
Returns an immutable bimap containing a single entry.,no
Returns the empty bimap.,no
"A {@link BiMap} whose contents will never change, with many other important properties detailed  * at {@link ImmutableCollection}.",no
// Keep running unless there are less than 2 edits dirs remaining.,no
// All journals active.,no
// Invalidate 1/4 of the redundant journals.,no
// safe since map is not writable,no
// Invalidate 2/4 of the redundant journals.,no
 * Abstract base implementation of the breakpoint ruler actions.,no
Constructs an action to work on breakpoints in the specified      * part with the specified vertical ruler information.,no
Returns the breakpoint at the last line of mouse activity in the ruler      * or <code>null</code> if none.,no
Returns the workbench part this action was created for.,no
Returns the vertical ruler information this action was created for.,no
// Invalidate 3/4 of the redundant journals.,no
// The NN has not terminated (no ExitException thrown),no
Toggles a line breakpoint in a C/C++ editor.,no
// The NN has not terminated (no ExitException thrown),no
 * Test that we can start several and run with namenodes on the same minicluster,no
  /** ms between failovers between NNs */,no
  /** ms for length of test */,no
// setup the harness,no
// setup the a circular writer,no
" // wait for all the writer threads to finish, or that we exceed the time",no
// The NN has not terminated (no ExitException thrown),no
// remove the writer from the ones to check,no
"// might be a little racy, but we just want a close count",no
Make sure we can traverse the entire linked list,no
 * This class implements a value aggregator that dedupes a sequence of objects.,no
   * the default constructor,no
constructor,no
   * Set the limit on the number of unique values,no
   * add a value to the aggregator,no
Replace the journal at index <code>index</code> with one that throws an    * exception on flush.,no
   * reset the aggregator,no
/**  * Contains the logic to lookup a leveldb by timestamp so that multiple smaller  * databases can roll according to the configured period and evicted efficiently  * via operating system directory removal.  */,no
  /** Logger for this class. */,no
  /** Factory to open and create new leveldb instances. */,no
  /** Thread safe date formatter. */,no
  /** Date parser. */,no
  /** Calendar to calculate the current and next rolling period. */,no
  /** Collection of all active rolling leveldb instances. */,no
  /** Collection of all rolling leveldb instances to evict. */,no
  /** Name of this rolling level db. */,no
  /** Calculated timestamp of when to roll a new leveldb instance. */,no
  /** File system instance to find and create new leveldb instances. */,no
  /** Directory to store rolling leveldb instances. */,no
  /** Configuration for this object. */,no
  /** Rolling period. */,no
Rolling leveldb instances are evicted when their endtime is earlier than    * the current time minus the time to live value.,no
  /** Whether time to live is enabled. */,no
  /** Encapsulates the rolling period to date format lookup. */,no
Convenience class for associating a write batch with its rolling leveldb    * instance.,no
    /** Leveldb object. */,no
    /** Write batch for the db object. */,no
    // make sure we sanitize this input,no
    // keep at least time to live amount of data,no
      // parse this in gmt time,no
    // needs to be called synchronously due to shared Calendar,no
      // round down to 12 hour interval,no
      // round down to 6 hour interval,no
      // round down to 5 minute interval,no
// Replace content,no
"/**    * Do a mutative metadata operation on the file system.    *     * @return true if the operation was successful, false otherwise.    */",no
   * The content of this page is the AggregatedLogsBlock,no
/**    * Replace the journal at index <code>index</code> with one that throws an    * exception on flush.    *     * @param index the index of the journal to take offline.    * @return the original <code>EditLogOutputStream</code> of the journal.    */,no
// SnapshotStatsMXBean,no
// SnapshotStatsMXBean,no
Returns the maximum allowable snapshot ID based on the bit width of the    * snapshot ID.,no
// both fromSnapshot and toSnapshot indicate the current tree,no
// Find the source root directory path where the snapshots were taken.     // All the check for path has been included in the valueOf method.,no
"Compute the difference between two snapshots of a directory, or between a    * snapshot of the directory and its current tree.",no
List all the snapshottable directories that are owned by the current user.,no
"Read values of {@link #snapshotCounter}, {@link #numSnapshots}, and    * all snapshots from the DataInput",no
write all snapshots.,no
"Write {@link #snapshotCounter}, {@link #numSnapshots},    * and all snapshots to the DataOutput.",no
Rename the given snapshot,no
Delete a snapshot for a snapshottable directory,no
"//create success, update id",no
// We have reached the maximum allowable snapshot ID and since we don't       // handle rollover we will fail all subsequent snapshot creation       // requests.,no
Create a snapshot of the given path.    * It is assumed that the caller will perform synchronization.,no
Find the source root directory where the snapshot will be taken   * for a given path.,no
// the directory is already non-snapshottable,no
Set the given snapshottable directory to non-snapshottable.,no
  /** Remove snapshottable directories from {@link #snapshottables} */,no
  /** Remove the given snapshottable directory from {@link #snapshottables}. */,no
  /** Add the given snapshottable directory to {@link #snapshottables}. */,no
/* Labels and Error Messages */,no
      //The directory is already a snapshottable directory.,no
Set the given directory as a snapshottable directory.,no
  /** Used in tests only */,no
  /** All snapshottable directories in the namesystem. */,no
"Manage snapshottable directories and their snapshots.  *   * This class includes operations that create, access, modify snapshots and/or  * snapshot-related data. In general, the locking structure of snapshot  * operations is: <br>",no
/* Defaults */,no
// read snapshots,no
/* SystemConnectionPropertyPage id*/,no
Context for an exception thrown by a subscriber.,no
"/**  * This subclass of the Jetty SslSocketConnector exists solely to control  * the TLS protocol versions allowed.  This is fallout from the POODLE  * vulnerability (CVE-2014-3566), which requires that SSLv3 be disabled.  * Only TLS 1.0 and later protocols are allowed.  */",no
"Create a new ServerSocket that will not accept SSLv3 connections,    * but will accept TLSv1.x connections.",no
Subclass for GDB >= 7.2.,no
"// Initialize the list with the base class' steps             // We need to create a list that we can modify, which is why we create our own ArrayList.",no
// Now insert our steps right after the initialization of the base class.,no
Initialize the members of the FinalLaunchSequence_7_2 class.      * This step is mandatory for the rest of the sequence to complete.,no
Tell GDB whether to automatically attach to a forked process or not.,no
// Set preemption related configurations,no
"/**  * A ShortCircuitReplica object contains file descriptors for a block that  * we are reading via short-circuit local reads.  *  * The file descriptors can be shared between multiple threads because  * all the operations we perform are stateless-- i.e., we use pread  * instead of read, to avoid using the shared position state.  */",no
 /**    * Identifies this ShortCircuitReplica object.    */,no
/**    * The block data input stream.    */,no
/**    * The block metadata input stream.    *    * TODO: make this nullable if the file has no checksums on disk.    */,no
 /**    * Block metadata header.    */,no
/**    * The cache we belong to.    */,no
 /**    * Monotonic time at which the replica was created.    */,no
" /**    * If non-null, the shared memory slot associated with this replica.    */",no
   /**    * Current mmap state.    *    * Protected by the cache lock.    */,no
  /**    * True if this replica has been purged from the cache; false otherwise.    *    * Protected by the cache lock.    */,no
   /**    * Decrement the reference count.    */,no
 /**    * Check if the replica is stale.    *    * Must be called with the cache lock held.    */,no
      // Check staleness by looking at the shared memory area we use to,no
      // communicate with the DataNode.,no
"      // Fall back to old, time-based staleness method.",no
/**    * Remove a no-checksum anchor for our shared memory slot.    *    * This method does not require any synchronization.    */,no
 /**    * Check if the replica has an associated mmap that has been fully loaded.    *    * Must be called with the cache lock held.    */,no
 /**    * Free the mmap associated with this replica.    *    * Must be called with the cache lock held.    */,no
  /**    * Close the replica.    *    * Must be called after there are no more references to the replica in the    * cache or elsewhere.    */,no
   * Get the evictable time in nanoseconds.,no
   * Set the evictable time in nanoseconds.,no
 Convert the replica to a string for debugging purposes.    * Note that we can't take the lock here.,no
// launch config added will get called below to add it to the                 // configs map,no
        // Set the project and the connection,no
        // nothing to do since the Local connection can't be removed,no
See the EDSL examples at {@link com.google.inject.Binder}.,no
   * See the EDSL examples at {@link com.google.inject.Binder}.,no
   * See the EDSL examples at {@link com.google.inject.Binder}.,no
Instructs the {@link com.google.inject.Injector} to eagerly initialize this    * singleton-scoped binding upon creation. Useful for application    * initialization logic.  See the EDSL examples at,no
        // Removing this line causes the tree to show normally in Firefox,no
Implements the RequestInterceptor interface and provides common functionality  * which can can be used and/or extended by other concrete intercepter classes.,no
   * Sets the {@link RequestInterceptor} in the chain.,no
   * Sets the {@link Configuration}.,no
   * Gets the {@link Configuration}.,no
   * Initializes the {@link RequestInterceptor}.,no
   * Disposes the {@link RequestInterceptor}.,no
   * Gets the next {@link RequestInterceptor} in the chain.,no
 * Default implementation that invokes the distributed scheduling version    * of the register method.,no
Default implementation that invokes the distributed scheduling version    * of the allocate method.,no
/* The RSE Connection dropdown with New button. */,no
   * Adds a new row to <i>this</i> dynamic Bloom filter.,no
   * Returns the active standard Bloom filter in <i>this</i> dynamic Bloom filter.,no
/* The Project and local binary location */,no
Constructor.    * <p>    * Builds an empty Dynamic Bloom filter.,no
 Zero-args constructor for the serialization.,no
The matrix of Bloom filter.,no
   * The number of keys recorded in the current standard active Bloom filter.,no
   * Threshold for the maximum number of key to record in a dynamic Bloom filter row.,no
"Implements a <i>dynamic Bloom filter</i>, as defined in the INFOCOM 2006 paper.  * <p>  * A dynamic Bloom filter (DBF) makes use of a <code>s * m</code> bit matrix but  * each of the <code>s</code> rows is a standard Bloom filter. The creation   * process of a DBF is iterative. At the start, the DBF is a <code>1 * m</code>  * bit matrix, i.e., it is composed of a single standard Bloom filter.  * It assumes that <code>n<sub>r</sub></code> elements are recorded in the   * initial bit vector, where <code>n<sub>r</sub> <= n</code> (<code>n</code> is  * the cardinality of the set <code>A</code> to record in the filter).    * <p>  * As the size of <code>A</code> grows during the execution of the application,  * several keys must be inserted in the DBF.  When inserting a key into the DBF,  * one must first get an active Bloom filter in the matrix.  A Bloom filter is  * active when the number of recorded keys, <code>n<sub>r</sub></code>, is   * strictly less than the current cardinality of <code>A</code>, <code>n</code>.  * If an active Bloom filter is found, the key is inserted and   * <code>n<sub>r</sub></code> is incremented by one. On the other hand, if there  * is no active Bloom filter, a new one is created (i.e., a new row is added to  * the matrix) according to the current size of <code>A</code> and the element  * is added in this new Bloom filter and the <code>n<sub>r</sub></code> value of  * this new Bloom filter is set to one.  A given key is said to belong to the  * DBF if the <code>k</code> positions are set to one in one of the matrix rows.  * <p>  * Originally created by  * <a href=""http://www.one-lab.org"">European Commission One-Lab Project 034819</a>.",no
/* The remote binary location and skip download option */,no
 A simple benchmark to find out the difference in speed between block  * and page blobs.,no
"Writes data to the given stream of the given size, flushing every    * x bytes.",no
" Writes data to the given file of the given size, flushing every    * x bytes. Measure performance of that and return it.",no
"Writes data to a block blob of the given size, flushing every    * x bytes. Measure performance of that and return it.",no
"Writes data to a page blob of the given size, flushing every    * x bytes. Measure performance of that and return it.",no
"Runs the benchmark over a small 10 KB file, flushing every 500 bytes.",no
Runs the benchmark for the given file size and flush frequency.,no
Runs the benchmark for the given file size and flush frequency from the    * command line.,no
"/* If the local binary path changes, modify the remote binary location */",no
"// ok, expected.",no
"// ok, expected.",no
"      // ok, expected.",no
"      // ok, expected.",no
"      // ok, expected.",no
"      // ok, expected.",no
"      // ok, expected.",no
"      // ok, expected.",no
    // all the modification methods of HarFS must lead to IOE.,no
"      // ok, expected.",no
    // the metadata should *not* be reused from cache:,no
    // init the Har:,no
    // write an unsupported version:,no
"      // ok, expected.",no
"      // ok, expected.",no
    // now init the HarFs:,no
    // delete the index file:,no
/*      * isValid      *       * @see org.eclipse.debug.ui.ILaunchConfigurationTab#isValid      */,no
 // Construct a valid har file system path with authority that     // contains userinfo and port. The userinfo and port are useless     // in local fs uri. They are only used to verify har file system     // can correctly preserve the information for the underlying file system.,no
"    // List contents of dir, and ensure we find all expected files",no
// test.har has the following contents:     //   dir1/1.txt     //   dir1/2.txt,no
"/ re-initialize the har file system with host name     // make sure the qualified path name does not append "":"" at the end of host name",no
"// Init HarFS with no constructor arg, so that the underlying FS object     // is created on demand or got from cache in #initialize() method.",no
    // The first entry should not be in the cache anymore:,no
"    // Create more hars, until the cache is full + 1; the last creation should evict the first entry from the cache",no
    // the metadata should be reused from cache:,no
"// Init 2nd har file system on the same underlying FS, so the     // metadata gets reused:",no
    // the metadata should be reused from cache:,no
/*      * createTargetExePath This creates the remote path user-editable textfield      * on the Main Tab.      */,no
"// Init 2nd har file system on the same underlying FS, so the     // metadata gets reused:",no
 // check that its impossible to reset the working directory     // (#setWorkingDirectory should have no effect):,no
    // check working directory:,no
    // check Har home path:,no
    // check Har URI:,no
    // check Har version:,no
    // cleanup: delete all the temporary files:,no
    // close Har FS:,no
    // create Har to test:,no
// Commands to run before execution,no
    // write Har version into the master index:,no
   * creates and returns fully initialized HarFileSystem,no
" // Strip drive specifier on Windows, which would make the HAR URI invalid and     // cause tests to fail.",no
"This test class checks basic operations with {@link HarFileSystem} including  * various initialization cases, getters, and modification methods.",no
/*      * createDownloadOption This creates the skip download check button.      */,no
/*      * performApply      *       * @see org.eclipse.debug.ui.ILaunchConfigurationTab#performApply      */,no
/*      * @see org.eclipse.debug.ui.ILaunchConfigurationTab#initializeFrom      */,no
 // No headers read or written,no
// No headers read or written,no
 // Remove default header,no
        // Remove default header,no
// No headers read or written,no
// No headers read or written,no
// Remove default header,no
/*          * Select the last used connection in the connecion pulldown if it still          * exists.          */,no
Response to {@link DatanodeProtocol#sendHeartbeat},no
  /** Commands returned from the namenode to the datanode */,no
  /** Information about the current HA-related state of the NN */,no
 * Thrown when Queue Name is malformed.,no
     * Called to announce that the given status has changed.,no
  // use published header name,no
/**      * Opens the <code>SystemConnectionPropertyPage</code> page for the selected connection.      */,no
  // alternate header name,no
    // use any file for signature secret,no
 // Test that you can authenticate with only delegation tokens   // 1. Get a delegation token using Kerberos auth(this ends up   // testing the fallback authenticator)   // 2. Submit an app without kerberos or delegation-token   // - we should get an UNAUTHORIZED response   // 3. Submit same app with delegation-token   // - we should get OK response   // - confirm owner of the app is the user whose   // delegation-token we used,no
  // this should fail with unauthorized because only     // auth is kerberos or delegation token,no
    // this should not fail,no
  // Test to make sure that cancelled delegation tokens   // are rejected,no
   // this should fail with unauthorized because only     // auth is kerberos or delegation token,no
  // Test to make sure that we can't do delegation token   // functions using just delegation token auth,no
    // first test create and renew,no
    // test cancel,no
"Parent path means the parent directory for the path.    * Ancestor path means the last (the closest) existing ancestor directory    * of the path.    * Note that if the parent path exists,    * then the parent path and the ancestor path are the same.",no
"// Superuser ""client"" should be able to get a delegation token   // for user ""client2"" when authenticated using Kerberos   // The request shouldn't work when authenticated using DelegationTokens",no
    // this should not work,no
    // this should also fail due to client2 not being a super user,no
"This class is meant to be empty.  It enables us to define  * the annotations which list all the different JUnit class we  * want to run.  When creating a new test class, it should be  * added to the list below.",no
Tests for the default assembly model builder.,no
Emulation of RunnableFuture.,no
 (Re)creates the test table,no
/*      * setLocalPathForRemotePath This function sets the remote path text field      * with the value of the local executable path.      */,no
     * Adds test data to the test table,no
" <p>The response sent by the <code>ResourceManager</code> to a client  * requesting a {@link NodeReport} for all nodes.</p>  *   * <p>The <code>NodeReport</code> contains per-node information such as   * available resources, number of containers, tracking url, rack name, health  * status etc.",no
Get <code>NodeReport</code> for all nodes in the cluster.,no
/** An arithmetic progression */,no
  /** A symbol */,no
  /** Starting value */,no
  /** Difference between terms */,no
  /** Ending value */,no
Constructor,no
  /** Not supported */,no
  /** Does this contain that? */,no
// try to use remote path,no
  /** Skip some steps */,no
  /** Get the number of steps */,no
  /** Convert a String to an ArithmeticProgression. */,no
 * Helper class to manage a group of mutable rate metrics,no
Initialize the registry with all the methods in a protocol    * so they all show up in the first snapshot.    * Convenient for JMX implementations.,no
   * Add a rate sample for a rate metric,no
// use remoteWSRoot instead of Workspace Root,no
This interface represents a base interface to represent a problem owner or  * holder.,no
     * Get the problem.,no
     * Set the problem.,no
/*      * createControl      *       * @see org.eclipse.debug.ui.ILaunchConfigurationTab#createControl      */,no
<code>PROBLEM</code> represents the relationship between a      * <code>IASTProblemHolder</code> and its <code>IASTProblem</code>.,no
 * The preference page used to present the properties of a GDB dynamic printf as preferences.,no
// update page state,no
// update container state,no
"// For every change, if all the fields are valid                     // we then check if we are dealing with a duplicate                     // breakpoint.",no
            // Check for duplication of line dprintf,no
        // Don't allow to create a duplicate breakpoint,no
        // default main label is the label of marker type for the dynamic printf,no
// LineDprintf,no
The preference store used to interface between the dynamic printf and the       * dynamic printf preference page.  This preference store is initialized only      * when the preference store cannot be retrieved from the preference       * dialog's element.,no
Indicates if the page currently aims to create      * a breakpoint that already exits.,no
nothing,no
         * Clears the error message from the message line if the error message is the error message from this field editor.,no
         * Clears the error message from the message line if the error message is the error message from this field editor.,no
         * Only store if the text control is enabled,no
        // Go over all dates this week,no
                // create composite,no
    // simple base case for mapping user to queue,no
"// specify overwritten, and see if user specified a queue, and it will be     // overridden",no
 * Finds gcc and clang on the path.,no
// decreasing container size from 50 to 40,no
// decreasing container size from 40 to 30,no
"// TableElement scroll not working properly, so we need to do this.         // http://dev.vaadin.com/ticket/13826",no
"// waitforvaadin not worky currently for table scroll, so we need to use         // thread sleep :(",no
// gcc problem that matched the pattern,no
Loads the basic job level data upfront.  * Data from job history file is loaded lazily.,no
//Can be picked from JobInfo with a conversion.,no
//Can be picked up from JobInfo,no
  //History data is leisurely loaded when task level data is requested,no
//we have only two types of tasks,no
// JAXB needs this,no
The <code>AR</code> class is used for parsing standard SOM archive (ar) files.,no
Archive and archive member header. Does not include 8-byte magic character.,no
// file member name - '/' terminated,no
// file member date - decimal,no
// file member user id - decimal,no
// file member group id - decimal,no
// file member mode - octal,no
// file member size - decimal,no
// ARFMAG - string to end header,no
// fields,no
// derived information,no
/** Get the name of the object file */,no
        /** Get the size of the object file . */,no
     * Library Symbol Table header,no
        // record fields,no
 Creates a new <code>AR</code> object from the contents of       *  the given file.,no
     *  Get an array of all the object file headers for this archive.,no
    /** Load the headers from the file (if required).  */,no
Check for EOF condition             //             // get the SOM directory,no
            // each SOM Directory entry has 2 32bit words: SOM offset from LST and size,no
/**  * This represents a field in a struct. This allows for the specification of  * size for a bit field.  *   * @noextend This interface is not intended to be extended by clients.  * @noimplement This interface is not intended to be implemented by clients.  */,no
// load a LST header,no
**      * <code>FIELD_SIZE</code> represents the relationship between a      * <code>IASTFieldDeclarator</code> and its <code>IASTExpression</code>.      */,no
"// We only ever call hasMoreElements once for the user NamingEnum, so     // we can just have one return value",no
"// We're going to have to define the loop here. We want two iterations,     // to get both the groups",no
    // Define the attribute for the name of the first group,no
    // Define the attribute for the name of the second group,no
"    // This search result gets reused, so return group1, then group2",no
Find the first occured tab in a UTF-8 encoded string,no
   * Find the first occured tab in a UTF-8 encoded string,no
 split a UTF-8 byte array into key and value     * assuming that the delimilator is at splitpos.,no
 split a UTF-8 byte array into key and value     * assuming that the delimilator is at splitpos.,no
split a UTF-8 byte array into key and value     * assuming that the delimilator is at splitpos.,no
split a UTF-8 byte array into key and value     * assuming that the delimilator is at splitpos.,no
   * Read a utf8 encoded line from a data input stream.,no
/**    * Check whether exception e is due to an ancestor inode's not being    * directory.    */,no
An untargetted binding. This binding indicates that the injector should use its implicit binding  * strategies to resolve injections.,no
"An abstract class that adds a consistent API for common methods that's needed  * by Vaadin's server-based selection models to work.  * <p>  * <em>Note:</em> This should be an interface instead of an abstract class, if  * only we could define protected methods in an interface.",no
"/**      * Returns the number of bits if this is a bit field, otherwise {@code null}.      *       * @return size of bit field or null.      */",no
"Select a row, based on its",no
/**      * Sets the bitfield size.      *       * @param size      *            <code>IASTExpression</code>      */,no
" Deselect a row, based on its",no
/** Destination path parameter. */,no
  /** Parameter name. */,no
  /** Default parameter value. */,no
Constructor,no
/**      * @since 5.1      */,no
Extension to the VM Update policy which allows the policy to control how to   * update missing property values in a dirty cache entry.,no
 Determines whether the given dirty cache entry should have the given       * missing property updated.,no
/**      * @since 5.3      */,no
"Exit node of the graph. Usually return from the function, can also be throw  * or abort, such at exit(0) call.",no
"JSON-marshallable description of a single component.  * It supports the deserialization of unknown attributes, but does  * not support their creation.",no
A type string which MUST be in the serialized json. This permits    * fast discarding of invalid entries,no
   * The type field. This must be the string {@link #RECORD_TYPE},no
   * Description string,no
   * map to handle unknown attributes.,no
   * List of endpoints intended for use to external callers,no
   * List of endpoints for use <i>within</i> an application.,no
"Create a service record with no ID, description or registration time.    * Endpoint lists are set to empty lists.",no
   * Deep cloning constructor,no
others,no
   * Add an internal endpoint,no
   * Look up an internal endpoint,no
   * Look up an external endpoint,no
   * Handle unknown attributes by storing them in the,no
"The map of ""other"" attributes set when parsing. These    * are not included in the JSON value of this record when it    * is generated.",no
"   * Get the ""other"" attribute with a specific key",no
"   * Get the ""other"" attribute with a specific key.",no
   * Find an endpoint by its API,no
/** Guarded by {@link FSNamesystem#readLock()} */,no
   * Shallow clone: all endpoints will be shared across instances,no
"/**  * An extension of the IMemoryBlockRetrievalExtension interface that supports  * memory spaces. The memory space interface is provisional, thus this class  * cannot yet be API.  *   * @author Alain Lee and John Cortell  */",no
A generic JUnit test which tests creation (typically through a constructor or  * static factory method) of a set. Can't be invoked directly; please see,no
 // setting per directory file limit to 1.,no
"// Test root directory path = """"",no
"    // Testing path generation from ""0"" to ""0/0/z/z""",no
"Making sure directory ""4"" and ""2"" becomes non-full so that they are      * reused for future getRelativePathForLocalization() calls in the order      * they are freed.",no
"    // After below call directory ""4"" should become full.",no
    // checking for first four paths,no
    // Releasing two files from the root directory.,no
    // Space for two files should be available in root directory.,no
  // As no space is now available in root directory so it should be from     // first sub directory,no
    // finish filling the other directory,no
"/**      * Caller to {@link #getMemorySpaces()} provides one of these, as that      * method may need to consult the debugger backend, and thus needs to be      * asynchronous      */",no
Tests for {@link ImmutableListMultimap}.,no
// suite,no
// SerializableTester,no
// SerializableTester,no
"/**    * This states the invalid identifier of Resource Manager. This is used as a    * default value for initializing RM identifier. Currently, RM is using time    * stamp as RM identifier.    */",no
Provides the string encoding of a memory space qualified address. This      * method is called when having to represent a memory-space qualified      * address as a single string.,no
"   /**    * Creates and closes a file of certain length.    * Calls append to allow next write() operation to add to the end of it    * After write() invocation, calls hflush() to make sure that data sunk through    * the pipeline and check the state of the last block's replica.    * It supposes to be in RBW state    *    * @throws IOException in case of an error    */",no
/**    * These two test cases are already implemented by    *    * @link{TestReadWhileWriting}    */,no
        // click the button for decreasing size,no
        // click the button for increasing size,no
Utility {@link CacheLoader} implementations intended for use in testing.,no
"Returns a {@link CacheLoader} that implements a naive {@link CacheLoader#loadAll}, delegating    * {@link CacheLoader#load} calls to {@code loader}.",no
Returns a {@link CacheLoader} that returns the given {@code constant} for every request.,no
Returns a {@link CacheLoader} that returns the given {@code constant} for every request.,no
Returns a {@link CacheLoader} that throws the given error for every request.,no
Returns a {@link CacheLoader} that returns the key for every request.,no
"Returns a {@code new Object()} for every request, and increments a counter for every request.    * The count is accessible via {@link #getCount}.",no
"Returns a {@code new Object()} for every request, and increments a counter for every request.    * An {@code Integer} loader that returns the key for {@code load} requests, and increments the    * old value on {@code reload} requests. The load counts are accessible via {@link #getLoadCount}    * and {@link #getReloadCount}.",no
// reload,no
Cost for the entire function call.,no
// no udc will be performed,no
     * Compares this function call cost to another one.,no
            // Prefer normal functions over template functions,no
            // 7.3.3-15 Using declarations in classes can be overridden,no
